id,author,quotestext
3,Tryon Edwards,"He that never changes his opinions, never corrects his mistakes, and will never be wiser on the morrow than he is today."
4,Chinese proverb,"If you are patient in one moment of anger, you will escape one hundred days of sorrow."
5,Lao Tzu,The journey of a thousand miles begins with one step.
6,Mother Teresa,"If you can't feed a hundred people, then feed just one."
7,Daisaku Ikeda,"True happiness means forging a strong spirit that is undefeated, no matter how trying our circumstances."
8,Bruce Lee,Take no thought of who is right or wrong or who is better than. Be not for or against.
9,Confucius,To be wrong is nothing unless you continue to remember it.
10,Buddha,"To live a pure unselfish life, one must count nothing as ones own in the midst of abundance."
11,Thomas Edison,Many of life's failures are people who did not realize how close they were to success when they gave up.
12,Lawrence Peter,"If you don't know where you are going, you will probably end up somewhere else."
13,Alfred Sheinwold,Learn all you can from the mistakes of others. You won't have time to make them all yourself.
14,Seneca,The mind unlearns with difficulty what it has long learned.
15,Richard Bach,"If you love someone, set them free. If they come back they're yours; if they don't they never were."
16,John Lennon,"Yeah we all shine on, like the moon, and the stars, and the sun."
18,Leonardo da Vinci,Who sows virtue reaps honour.
19,M. Scott Peck,"Until you value yourself, you won't value your time. Until you value your time, you won't do anything with it."
21,Byron Pulsifer,"Everyone can taste success when the going is easy, but few know how to taste victory when times get tough."
22,Thich Nhat Hanh,"Smile, breathe and go slowly."
23,Socrates,Be as you wish to seem.
24,Jean Lacordaire,"We are the leaves of one branch, the drops of one sea, the flowers of one garden."
25,Albert Camus,"In the depth of winter, I finally learned that there was within me an invincible summer."
27,Margaret Bonnano,It is only possible to live happily ever after on a day to day basis.
28,Aesop,"No act of kindness, no matter how small, is ever wasted."
29,Jon Kabat-Zinn,"You can't stop the waves, but you can learn to surf."
30,Sophocles,Wisdom is the supreme part of happiness.
31,Ovid,The cause is hidden. The effect is visible to all.
32,William Shakespeare,"Speak low, if you speak love."
33,Henry Thoreau,The world is but a canvas to the imagination.
34,Voltaire,"The longer we dwell on our misfortunes, the greater is their power to harm us."
36,Desiderius Erasmus,The fox has many tricks. The hedgehog has but one. But that is the best of all.
37,Tywin,A lion does not concern himself with the opinion of sheep.
38,John Dewey,"Without some goals and some efforts to reach it, no man can live."
40,A. Powell Davies,Life is just a chance to grow a soul.
41,Antoine de Saint-Exupery,I know but one freedom and that is the freedom of the mind.
42,Pablo Picasso,"He can who thinks he can, and he can't who thinks he can't. This is an inexorable, indisputable law."
43,Goethe,What is not started today is never finished tomorrow.
45,Napoleon Hill,You can do it if you believe you can!
46,Mary Kay Ash,"For every failure, there's an alternative course of action. You just have to find it. When you come to a roadblock, take a detour."
47,Frank Wright,"The thing always happens that you really believe in; and the belief in a thing makes it happen."
48,Frank Crane,"You may be deceived if you trust too much, but you will live in torment if you don't trust enough."
49,Richard Braunstein,He who obtains has little. He who scatters has much.
50,Johann Wolfgang von Goethe,Difficulties increase the nearer we get to the goal.
51,Tony Robbins,The only limit to your impact is your imagination and commitment.
52,Moliere,"It is not only for what we do that we are held responsible, but also for what we do not do."
53,Alfred Adler,"Trust only movement. Life happens at the level of events, not of words. Trust movement."
54,H. W. Arnold,The worst bankrupt in the world is the person who has lost his enthusiasm.
55,Dhammapada,"Do not give your attention to what others do or fail to do; give it to what you do or fail to do."
57,Dalai Lama,Compassion and happiness are not a sign of weakness but a sign of strength.
58,Benjamin Franklin,One today is worth two tomorrows.
59,Orison Marden,All men who have achieved great things have been great dreamers.
60,Harry Banks,"For success, attitude is equally as important as ability."
63,Virgil,They can do all because they think they can.
66,Bob Newhart,"All I can say about life is, Oh God, enjoy it!"
68,Brendan Francis,No yesterdays are ever wasted for those who give themselves to today.
70,James Freeman Clarke,We are either progressing or retrograding all the while. There is no such thing as remaining stationary in this life.
71,Abraham Lincoln,Most folks are about as happy as they make up their minds to be.
73,unknown,"Courage is the discovery that you may not win, and trying when you know you can lose."
74,Alfred Korzybski,"There are two ways to slide easily through life: to believe everything or to doubt everything; both ways save us from thinking."
75,Barbara Baron,Don't wait for your feelings to change to take the action. Take the action and your feelings will change.
76,Colette,"I love my past. I love my present. Im not ashamed of what Ive had, and Im not sad because I have it no longer."
78,Pericles,Time is the wisest counsellor of all.
79,Murray Gell-Mann,Think how hard physics would be if particles could think.
80,Isocrates,The noblest worship is to make yourself as good and as just as you can.
81,Mohandas Gandhi,The weak can never forgive. Forgiveness is the attribute of the strong.
82,Peter Drucker,"Efficiency is doing things right; effectiveness is doing the right things."
83,Wayne Dyer,"There is no way to prosperity, prosperity is the way."
84,Isaac Asimov,A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.
85,Aristotle,The energy of the mind is the essence of life.
86,Carl Jung,The least of things with a meaning is worth more in life than the greatest of things without it.
87,Lin-yutang,I have done my best: that is about all the philosophy of living one needs.
89,H. Jackson Browne,Don't be afraid to go out on a limb. That's where the fruit is.
90,Franklin Roosevelt,"When you come to the end of your rope, tie a knot and hang on."
91,Bodhidharma,"All know the way; few actually walk it."
96,Indira Gandhi,You can't shake hands with a clenched fist.
97,Edward Young,"On every thorn, delightful wisdom grows, In every rill a sweet instruction flows."
98,Robert Fulghum,"Peace is not something you wish for. It's something you make, something you do, something you are, and something you give away."
99,Cicero,"Gratitude is not only the greatest of virtues, but the paren't of all the others."
100,Dalai Lama,"I find hope in the darkest of days, and focus in the brightest. I do not judge the universe."
101,Michelangelo,"The greatest danger for most of us is not that our aim is too high and we miss it, but that it is too low and we reach it."
102,Gloria Steinem,"Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning."
103,Napoleon Hill,"If you cannot do great things, do small things in a great way."
104,Holmes,Fame usually comes to those who are thinking about something else.
105,Peter Drucker,There is nothing so useless as doing efficiently that which should not be done at all.
106,Rene Descartes,The greatest minds are capable of the greatest vices as well as of the greatest virtues.
107,Thich Nhat Hanh,May our hearts garden of awakening bloom with hundreds of flowers.
109,Frank Tyger,Learn to listen. Opportunity could be knocking at your door very softly.
110,Benjamin Disraeli,The secret of success is constancy to purpose.
111,Marie Curie,Nothing in life is to be feared. It is only to be understood.
112,Buddha,Every human being is the author of his own health or disease.
113,Benjamin Disraeli,One secret of success in life is for a man to be ready for his opportunity when it comes.
114,John Ruskin,"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather."
115,unknown,"Change your thoughts, change your life!"
